"","Wage","Age","Potential","Special","Acceleration","Aggression","Agility","Balance","Ball.control","Composure","Crossing","Curve","Dribbling","Finishing","Free.kick.accuracy","GK.diving","GK.handling","GK.kicking","GK.positioning","GK.reflexes","Heading.accuracy","Interceptions","Jumping","Long.passing","Long.shots","Marking","Penalties","Positioning","Reactions","Short.passing","Shot.power","Sliding.tackle","Sprint.speed","Stamina","Standing.tackle","Strength","Vision","Volleys","CAM","CB","CDM","CF","CM","LAM","LB","LCB","LCM","LDM","LF","LM","LS","LW","LWB","RAM","RB","RCB","RCM","RDM","RF","RM","RS","RW","RWB","ST"
"D. Mertens Napoli",2.51922600639849,1.14689512160329,2.46267066077498,2.38108211206334,2.05468103496433,0.394351730625873,2.3779993267143,2.26762937833331,2.7687120922192,2.01526593566224,2.21654483733035,2.30520742927198,2.8960198928143,2.36746153539351,2.32079460976608,-1.12703048852566,-0.190816791431084,-0.807716733135123,-0.174518464944031,-2.01336316938398,-2.551357876976,0.81971724892552,-0.638331075675759,2.4279506102877,2.41446665848481,0.759529710410119,1.74565810481084,2.08266962565014,2.45662871618512,2.41631584765999,1.4585122779851,1.75448504692351,1.56405619283962,1.02050432852679,1.32158915489648,-2.03351575896326,2.69920068572746,1.04908662017332,3.16474006234861,0.681012258174972,2.04765996820197,2.99271446998296,2.93858570980285,3.16474006234861,2.23269362826709,0.681012258174972,2.93858570980285,2.04765996820197,2.99271446998296,3.07352188546648,1.89484353288375,3.22530873133338,2.57119147611382,3.16474006234861,2.23269362826709,0.681012258174972,2.93858570980285,2.04765996820197,2.99271446998296,3.07352188546648,1.89484353288375,3.22530873133338,2.57119147611382,1.89484353288375
"A. Lacazette Arsenal",2.74311147698047,0.269345046229153,2.79572385005428,2.53672450375753,1.28556703860901,1.07966160109108,1.77150364679718,1.61774122211772,2.30259532086193,2.51083063781675,1.24342674837635,1.7548873607389,2.44797108045571,2.62128980380964,1.88567074306004,0.14580258797828,-1.47279771757009,-0.500116605212952,-1.76338506125954,-1.39625674031676,0.868654551865889,1.17692307470396,0.77954570928149,1.15895624216247,1.85764607052814,0.0118892348797635,2.43395978280425,2.29030361623461,2.45662871618512,2.20470127664006,1.56487083104642,0.700382056333972,1.56405619283962,1.51004431595488,1.50945786929903,0.810019832136693,1.89224525581067,2.10783153693139,2.62990312969558,1.67635807480548,2.04765996820197,2.71653847938118,2.41752360273898,2.62990312969558,2.08414927790298,1.67635807480548,2.41752360273898,2.04765996820197,2.71653847938118,2.54227164539343,2.60202095896431,2.68510616652636,2.14267055960259,2.62990312969558,2.08414927790298,1.67635807480548,2.41752360273898,2.04765996820197,2.71653847938118,2.54227164539343,2.60202095896431,2.68510616652636,2.14267055960259,2.60202095896431
"E. Džeko Roma",2.39444106807926,1.36628264044683,2.12961747149567,1.41387582082084,-0.167203843395492,-0.104055447894276,-0.827763552847623,-2.28158771517582,1.83647854950465,1.81704005480043,1.16857151076451,1.04733298691066,1.4398612526489,2.62128980380964,0.652819787392922,-0.490613950273688,0.129678440103669,0.730283906475731,1.41434813137148,1.38072219048573,1.97784777203082,2.06993763915007,-0.106627281316791,2.25875136120434,1.52355371775414,-1.2697801517437,0.483771695156259,2.49793760681909,2.24338568066036,1.99308670562012,2.09666359635306,-0.77536213049138,-0.800786351814875,0.530964341098688,0.194376868481163,1.04057677195561,1.48876754085227,1.66668782161553,2.09506619704256,0.96539677721226,1.6383926278071,2.16418649817762,2.28725807597301,2.09506619704256,1.04433882535427,0.96539677721226,2.28725807597301,1.6383926278071,2.16418649817762,1.87820884530213,2.4605854737482,1.87480231931583,1.14278842107638,2.09506619704256,1.04433882535427,0.96539677721226,2.28725807597301,1.6383926278071,2.16418649817762,1.87820884530213,2.4605854737482,1.87480231931583,1.14278842107638,2.4605854737482
"Aduriz Athletic Club de Bilbao",1.53266100937615,2.4632202346645,2.12961747149567,2.11426658344472,0.00371037801680227,1.8272723688713,-1.17433251280026,-0.575631305109894,1.83647854950465,2.60994357824765,0.494874372257897,0.732864376320329,1.77589786191783,2.36746153539351,0.652819787392922,1.10042739535623,-0.190816791431084,-0.500116605212952,1.41434813137148,-0.470597096715926,2.9021754555016,-0.341201684854421,2.3746570923584,0.566758870370695,2.30310254089347,2.46842222590807,1.40150726581414,2.18648662094238,2.45662871618512,1.3582429925603,1.77758793716908,2.70317773845409,0.0178129905655265,-0.0564836438150294,1.69732658370158,1.11742908522858,1.79137582707107,2.28428902305773,1.9613569638793,2.52951163191734,1.77481507460539,2.30227449347851,1.76619596890913,1.9613569638793,1.93560492753888,2.52951163191734,1.76619596890913,1.77481507460539,2.30227449347851,1.61258372526561,2.60202095896431,1.73975167811407,1.57130933758761,1.9613569638793,1.93560492753888,2.52951163191734,1.76619596890913,1.77481507460539,2.30227449347851,1.61258372526561,2.60202095896431,1.73975167811407,1.57130933758761,2.60202095896431
"K. Mbappé Paris Saint-Germain",1.37421231802843,-1.48575510451913,3.79488341789221,2.46446196475666,1.71285259213974,0.581254422570929,0.991723486903738,0.967853065902133,2.65218289937988,1.91615299523133,1.69255817404743,1.83350451338649,2.55998328354536,2.62128980380964,0.942902365196949,0.782219126230249,-1.79329294910485,-1.11531686105729,0.14325485431907,-1.39625674031676,1.2383856252542,1.98063618270546,0.336459213982349,1.92035286303761,0.966733129797471,1.93439331481496,0.827922534152963,1.4597676538967,1.81689960961085,2.09889399113009,1.35215372492377,1.75448504692351,1.83692264029975,1.80376830841174,1.69732658370158,0.425758265771835,2.19485354202947,1.40200159242601,2.62990312969558,2.24512711288005,2.59334975539514,2.57845048408029,2.54778912950495,2.62990312969558,2.82687102972349,2.24512711288005,2.54778912950495,2.59334975539514,2.57845048408029,2.6750842054117,2.4605854737482,2.68510616652636,2.85687208712131,2.62990312969558,2.82687102972349,2.24512711288005,2.54778912950495,2.59334975539514,2.57845048408029,2.6750842054117,2.4605854737482,2.68510616652636,2.85687208712131,2.4605854737482
"A. Belotti Torino",1.86174479352654,-0.388817510301451,3.12877703933359,1.82521642744121,0.943738595784419,1.88957326618632,1.0783657268919,0.886617046375184,1.60342016382601,1.71792711436953,-0.403388479084251,0.968715834263077,1.66388565882819,2.74820393801771,0.797861076294936,0.782219126230249,-1.15230248603534,0.42268377855356,1.09657481210837,-1.08770352578315,1.97784777203082,0.373209966702466,1.39986680270029,-0.279237375046125,0.855369012206137,-0.842557022869214,1.63094115847861,2.08266962565014,1.71027809184847,1.0408211360304,1.56487083104642,0.911202654451879,1.20023426289277,1.90167630589736,-0.275294917525219,1.27113371177452,0.580942682195873,1.93137405080504,1.69393849755279,1.24978129624955,0.956280393815643,2.02609850287672,1.24513386184525,1.69393849755279,1.04433882535427,1.24978129624955,1.24513386184525,0.956280393815643,2.02609850287672,1.47977116524734,2.4605854737482,1.73975167811407,0.999948115572632,1.69393849755279,1.04433882535427,1.24978129624955,1.24513386184525,0.956280393815643,2.02609850287672,1.47977116524734,2.4605854737482,1.73975167811407,0.999948115572632,2.4605854737482
"B. Dost Sporting CP",1.29500103378512,0.708120083916222,1.96309087685601,1.12482566481733,-1.2781462825754,1.20426339572112,-2.47396611262266,-2.36282373470277,1.02077419962942,1.71792711436953,-0.702809429531633,0.811481528967912,0.095714815573139,2.62128980380964,-0.942634390529232,-1.44523875765164,0.450173671638421,1.34548416232007,0.14325485431907,-0.779150311249536,2.80974268715453,1.08762161825935,-1.0814175709749,-0.702235497754535,1.63491783534547,0.652723928191497,2.08980894380754,2.39412061152685,2.45662871618512,1.67566484909021,1.77758793716908,0.278740860098157,-0.527919904354741,1.90167630589736,2.07306401250669,1.57854296486641,1.28702868337307,2.3725177661209,1.29281079806302,2.10293485336141,1.6383926278071,1.74992251227494,1.50566491537719,1.29281079806302,1.34142752608247,2.10293485336141,1.50566491537719,1.6383926278071,1.74992251227494,0.948520925174298,2.31914998853209,0.929447830903537,1.14278842107638,1.29281079806302,1.34142752608247,2.10293485336141,1.50566491537719,1.6383926278071,1.74992251227494,0.948520925174298,2.31914998853209,0.929447830903537,1.14278842107638,2.31914998853209
"S. Giovinco Toronto FC",0.809259673499276,1.14689512160329,1.96309087685601,1.96974150544297,1.62739548143359,1.39116608766617,2.20471484673798,2.34886539786026,2.65218289937988,2.70905651867855,1.91712388688296,2.6982931925099,2.55998328354536,2.11363326697738,3.19104234317817,-1.44523875765164,-2.43428341217435,-1.42291698897947,-2.39893169978574,-2.32191638391759,-2.64379064532307,-0.0732973155205883,-2.94238085123129,2.51255023482938,2.41446665848481,0.0118892348797635,1.63094115847861,1.9788526303579,2.13676416289798,2.20470127664006,1.35215372492377,0.489561458216065,1.01832329791935,1.21632032349802,0.288311225682439,-2.03351575896326,2.69920068572746,1.49023033548918,2.89732159602209,-0.172141298936889,1.6383926278071,2.71653847938118,2.67805465627091,2.89732159602209,1.34142752608247,-0.172141298936889,2.67805465627091,1.6383926278071,2.71653847938118,2.80789676542996,1.61197256245153,2.82015680772812,1.8569899485951,2.89732159602209,1.34142752608247,-0.172141298936889,2.67805465627091,1.6383926278071,2.71653847938118,2.80789676542996,1.61197256245153,2.82015680772812,1.8569899485951,1.61197256245153
"K. Gameiro Atlético Madrid",2.0407526001932,1.14689512160329,1.96309087685601,2.40887539629444,1.62739548143359,0.830458011831004,1.33829244685638,1.04908908542908,1.83647854950465,2.41171769738584,1.69255817404743,1.91212166603407,1.4398612526489,2.49437566960158,1.81315009860903,-1.44523875765164,-0.190816791431084,-0.807716733135123,-0.810065103470233,-1.39625674031676,0.406490710130499,0.998320161814742,1.48848410176011,2.25875136120434,1.85764607052814,0.0118892348797635,2.54867672913648,2.18648662094238,2.45662871618512,2.20470127664006,1.8839464902304,1.64907474786456,1.47310071035291,1.1184123260124,0.664048654487545,-0.342764866957882,2.09398411328987,1.7549165646787,2.49619389653233,1.24978129624955,1.91123752140368,2.4403624887794,2.41752360273898,2.49619389653233,2.08414927790298,1.24978129624955,2.41752360273898,1.91123752140368,2.4403624887794,2.54227164539343,2.31914998853209,2.41500488412285,2.14267055960259,2.49619389653233,2.08414927790298,1.24978129624955,2.41752360273898,1.91123752140368,2.4403624887794,2.54227164539343,2.31914998853209,2.41500488412285,2.14267055960259,2.31914998853209
"I. Slimani Leicester City",2.2856728435895,0.927507602759757,1.79656428221636,2.11982524029094,-0.252660954101639,2.07647595813138,-0.221267872930502,-0.738103344163792,1.25383258530805,1.81704005480043,0.79429532270528,1.67627020809132,1.2158368464696,1.73289086435318,0.145175276235873,-0.172405681147704,-0.511312022965836,-1.42291698897947,1.41434813137148,0.146509332351294,2.62487715046037,2.42714346492852,1.7543359989396,1.32815549124583,1.30082548257147,1.18675283928461,1.2867903194819,2.08266962565014,2.35000719842274,1.56985756358024,1.24579517186244,0.0679202619802497,0.199723955538949,2.19540029835422,2.07306401250669,1.27113371177452,1.69050639833147,1.84314530774187,1.69393849755279,2.67170389143598,2.45692730859685,1.88801050757583,2.15699254920704,1.69393849755279,2.08414927790298,2.67170389143598,2.15699254920704,2.45692730859685,1.88801050757583,1.74539628528387,2.17771450331597,1.60470103691232,1.99983025409884,1.69393849755279,2.08414927790298,2.67170389143598,2.15699254920704,2.45692730859685,1.88801050757583,1.74539628528387,2.17771450331597,1.60470103691232,1.99983025409884,2.17771450331597
"K. Baldé Diao AS Monaco",1.68134768708681,-0.608205029144986,3.12877703933359,1.79186448636389,2.05468103496433,0.0828472440507799,1.33829244685638,1.04908908542908,2.88524128505852,1.81704005480043,2.06683436210666,1.44041875014857,2.67199548663501,1.60597673014511,0.507778498490908,0.464010857104265,-0.831807254500588,0.730283906475731,-0.810065103470233,1.38072219048573,-0.425404204993203,0.373209966702466,-0.106627281316791,1.58195436487088,1.63491783534547,-0.62894545843197,-0.548680821833852,1.35595065860446,1.49703505632371,1.88727942011015,1.24579517186244,0.489561458216065,2.01883360527317,0.824688333555546,0.288311225682439,0.579462892317778,1.79137582707107,0.872629134046977,2.49619389653233,0.538819998656329,1.36554773421052,2.4403624887794,2.15699254920704,2.49619389653233,1.63851622681068,0.538819998656329,2.15699254920704,1.36554773421052,2.4403624887794,2.6750842054117,2.03627901809986,2.68510616652636,1.8569899485951,2.49619389653233,1.63851622681068,0.538819998656329,2.15699254920704,1.36554773421052,2.4403624887794,2.6750842054117,2.03627901809986,2.68510616652636,1.8569899485951,2.03627901809986
"T. Werner RB Leipzig",1.98553517680152,-0.827592547988521,2.62919725541463,1.63622209466969,1.96922392425818,0.643555319885948,1.0783657268919,0.967853065902133,2.06953693518329,0.925023590922313,1.61770293643558,0.811481528967912,1.99992226809713,2.49437566960158,-0.217427946019162,-0.490613950273688,-0.511312022965836,-0.807716733135123,1.41434813137148,-0.470597096715926,1.05352008856004,0.909018705370131,0.868163008341318,0.820557743995741,0.855369012206137,-0.62894545843197,0.598488641488494,2.08266962565014,2.35000719842274,1.88727942011015,0.820360959617136,-0.459131233314519,1.92787812278646,1.31422832098364,-0.557097989129048,-0.72702643332274,0.177464967237475,2.01960279386822,2.09506619704256,0.538819998656329,1.09270284061393,2.30227449347851,1.63593044214316,2.09506619704256,1.48997187644658,0.538819998656329,1.63593044214316,1.09270284061393,2.30227449347851,2.27664652535691,2.31914998853209,2.41500488412285,1.71414964309135,2.09506619704256,1.48997187644658,0.538819998656329,1.63593044214316,1.09270284061393,2.30227449347851,2.27664652535691,2.31914998853209,2.41500488412285,1.71414964309135,2.31914998853209
"C. Bacca Villarreal CF",2.45933190606615,1.14689512160329,1.79656428221636,1.47502104612927,0.601910152959831,0.581254422570929,0.818439006927418,1.04908908542908,1.95300774234397,1.91615299523133,0.944005797928971,1.59765305544374,1.77589786191783,2.62128980380964,0.942902365196949,0.464010857104265,0.450173671638421,-0.807716733135123,-1.76338506125954,-0.779150311249536,1.2383856252542,0.641114336036299,0.868163008341318,0.397559621287331,0.0758201890668016,-1.16297436952508,1.97509199747531,2.29030361623461,1.92352112737323,1.46405027807027,1.03307806573979,-0.986182728609287,0.745456850459217,0.237240348641829,-0.932835417934153,0.425758265771835,1.08528982589387,1.93137405080504,1.82764773071604,0.254435479619042,0.683435500219061,2.02609850287672,1.37539938861122,1.82764773071604,0.598705774261964,0.254435479619042,1.37539938861122,0.683435500219061,2.02609850287672,1.87820884530213,2.17771450331597,2.00985296051758,0.857107810068888,1.82764773071604,0.598705774261964,0.254435479619042,1.37539938861122,0.683435500219061,2.02609850287672,1.87820884530213,2.17771450331597,2.00985296051758,0.857107810068888,2.17771450331597
"H. Son Tottenham Hotspur",2.2457543903686,-0.169429991457917,2.29614406613532,2.04756270129006,1.54193837072745,0.456652627940892,1.0783657268919,1.04908908542908,2.06953693518329,1.71792711436953,2.06683436210666,2.30520742927198,2.44797108045571,2.11363326697738,1.81315009860903,0.14580258797828,0.770668903173174,0.730283906475731,-1.44561174199644,-0.162043882182316,0.221625173436343,0.194607053813244,-0.195244580376619,1.58195436487088,2.97128724644148,-0.62894545843197,0.942639480485198,1.87503563506566,2.03014264513561,2.09889399113009,1.77758793716908,-0.037490037078704,1.47310071035291,1.51004431595488,-0.651032346330324,-0.496469493503825,2.29572297076907,1.31377284936284,2.62990312969558,0.112243220100398,1.22912528741223,2.57845048408029,2.28725807597301,2.62990312969558,1.34142752608247,0.112243220100398,2.28725807597301,1.22912528741223,2.57845048408029,2.6750842054117,2.17771450331597,2.68510616652636,1.71414964309135,2.62990312969558,1.34142752608247,0.112243220100398,2.28725807597301,1.22912528741223,2.57845048408029,2.6750842054117,2.17771450331597,2.68510616652636,1.71414964309135,2.17771450331597
"Willian José Real Sociedad",1.61054988171893,0.0499575273856181,2.46267066077498,1.75851254528656,-0.338118064807786,0.768157114515985,-0.567836832883143,-1.14428344179854,1.83647854950465,1.22236241221502,0.494874372257897,1.28318444485341,1.77589786191783,2.24054740118544,1.88567074306004,1.41863566448222,1.09116413470793,1.65308429024224,1.41434813137148,-0.779150311249536,1.97784777203082,0.73041579248091,0.425076513042178,0.228360372203967,1.85764607052814,0.652723928191497,1.97509199747531,2.08266962565014,2.03014264513561,2.20470127664006,1.77758793716908,0.700382056333972,-0.164097974407896,0.237240348641829,0.570114297286268,1.42483833832047,0.782681539675072,1.93137405080504,1.82764773071604,1.53416581528683,1.50197018100881,2.02609850287672,1.63593044214316,1.82764773071604,1.19288317571837,1.53416581528683,1.63593044214316,1.50197018100881,2.02609850287672,1.61258372526561,2.31914998853209,1.73975167811407,1.28562872658012,1.82764773071604,1.19288317571837,1.53416581528683,1.63593044214316,1.50197018100881,2.02609850287672,1.61258372526561,2.31914998853209,1.73975167811407,1.28562872658012,2.31914998853209
